|6.6.6
project/DW/DW_1.tab                                                                                 
           1
P(bar)  
   6.9127692053006575E-310
   6.9127692053006575E-310
 -1144756159
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  12120.0        678.050        3600.29        23.1439                 NaN            NaN            NaN            NaN   12.7075        45.5170                 NaN   18.6316        5.86550        7.77060        4.41403     
  12240.0        681.100        3600.35        23.1442                 NaN            NaN            NaN            NaN   12.7076        45.5162                 NaN   18.6320        5.86562        7.77025        4.41345     
  12360.0        684.150        3600.41        23.1445                 NaN            NaN            NaN            NaN   12.7076        45.5154                 NaN   18.6324        5.86574        7.76990        4.41286     
  12480.0        687.200        3599.32        23.1483                 NaN            NaN            NaN            NaN   12.5576        45.8727                 NaN   18.4213        5.86344        7.76482        4.40845     
  12600.0        690.250        3599.38        23.1486                 NaN            NaN            NaN            NaN   12.5577        45.8719                 NaN   18.4218        5.86356        7.76447        4.40786     
  12720.0        693.300        3599.44        23.1489                 NaN            NaN            NaN            NaN   12.5577        45.8712                 NaN   18.4222        5.86368        7.76412        4.40728     
  12840.0        696.350        3599.50        23.1492                 NaN            NaN            NaN            NaN   12.5578        45.8704                 NaN   18.4226        5.86380        7.76377        4.40669     
  12960.0        699.400        3599.56        23.1495                 NaN            NaN            NaN            NaN   12.5578        45.8696                 NaN   18.4230        5.86392        7.76341        4.40611     
  13080.0        702.450        3599.62        23.1498                 NaN            NaN            NaN            NaN   12.5579        45.8689                 NaN   18.4234        5.86403        7.76306        4.40552     
  13200.0        705.500        3599.68        23.1501                 NaN            NaN            NaN            NaN   12.5579        45.8681                 NaN   18.4238        5.86415        7.76270        4.40493     
  13320.0        708.550        3599.74        23.1504                 NaN            NaN            NaN            NaN   12.5580        45.8674                 NaN   18.4243        5.86427        7.76235        4.40435     
  13440.0        711.600        3599.80        23.1507                 NaN            NaN            NaN            NaN   12.5580        45.8666                 NaN   18.4247        5.86438        7.76199        4.40376     
  13560.0        714.650        3599.86        23.1510                 NaN            NaN            NaN            NaN   12.5581        45.8658                 NaN   18.4251        5.86450        7.76163        4.40317     
  13680.0        717.700        3599.92        23.1513                 NaN            NaN            NaN            NaN   12.5581        45.8651                 NaN   18.4255        5.86462        7.76127        4.40258     
  13800.0        720.750        3599.98        23.1516                 NaN            NaN            NaN            NaN   12.5582        45.8643                 NaN   18.4259        5.86473        7.76091        4.40199     
  13920.0        723.800        3600.04        23.1519                 NaN            NaN            NaN            NaN   12.5582        45.8635                 NaN   18.4264        5.86484        7.76055        4.40140     
  14040.0        726.850        3600.10        23.1522                 NaN            NaN            NaN            NaN   12.5583        45.8628                 NaN   18.4268        5.86496        7.76019        4.40081     
  14160.0        729.900        3599.96        23.1479                 NaN            NaN            NaN            NaN   12.6220        45.7352                 NaN   18.4948        5.86538        7.75848        4.39813     
  14280.0        732.950        3600.02        23.1482                 NaN            NaN            NaN            NaN   12.6221        45.7345                 NaN   18.4953        5.86549        7.75812        4.39754     
  14400.0        736.000        3600.07        23.1485                 NaN            NaN            NaN            NaN   12.6221        45.7337                 NaN   18.4957        5.86561        7.75776        4.39695     
  14520.0        739.050        3600.13        23.1488                 NaN            NaN            NaN            NaN   12.6222        45.7329                 NaN   18.4961        5.86572        7.75740        4.39636     
  14640.0        742.100        3600.41        23.1575                 NaN            NaN            NaN            NaN   12.7745        45.5801                 NaN   18.4879        5.86672        7.75822        4.39644     
  14760.0        745.150        3600.47        23.1578                 NaN            NaN            NaN            NaN   12.7745        45.5794                 NaN   18.4883        5.86683        7.75785        4.39584     
  14880.0        748.200        3600.53        23.1581                 NaN            NaN            NaN            NaN   12.7746        45.5786                 NaN   18.4887        5.86694        7.75749        4.39525     
  15000.0        751.250        3600.58        23.1584                 NaN            NaN            NaN            NaN   12.7746        45.5779                 NaN   18.4891        5.86705        7.75712        4.39466     
  15120.0        754.300        3600.64        23.1587                 NaN            NaN            NaN            NaN   12.7747        45.5771                 NaN   18.4895        5.86716        7.75676        4.39407     
  15240.0        757.350        3600.70        23.1590                 NaN            NaN            NaN            NaN   12.7747        45.5763                 NaN   18.4899        5.86727        7.75639        4.39347     
  15360.0        760.400        3600.76        23.1593                 NaN            NaN            NaN            NaN   12.7748        45.5756                 NaN   18.4904        5.86737        7.75602        4.39288     
  15480.0        763.450        3600.81        23.1596                 NaN            NaN            NaN            NaN   12.7748        45.5748                 NaN   18.4908        5.86748        7.75566        4.39228     
  15600.0        766.500        3600.87        23.1599                 NaN            NaN            NaN            NaN   12.7749        45.5740                 NaN   18.4912        5.86759        7.75529        4.39169     
  15720.0        769.550        3600.93        23.1602                 NaN            NaN            NaN            NaN   12.7749        45.5733                 NaN   18.4916        5.86770        7.75492        4.39109     
  15840.0        772.600        3600.99        23.1605                 NaN            NaN            NaN            NaN   12.7750        45.5725                 NaN   18.4920        5.86780        7.75455        4.39049     
  15960.0        775.650        3600.67        23.1730                 NaN            NaN            NaN            NaN   12.8110        45.5903                 NaN   18.4257        5.86785        7.75308        4.38850     
  16080.0        778.700        3600.72        23.1733                 NaN            NaN            NaN            NaN   12.8111        45.5896                 NaN   18.4261        5.86795        7.75270        4.38790     
  16200.0        781.750        3600.78        23.1736                 NaN            NaN            NaN            NaN   12.8111        45.5888                 NaN   18.4265        5.86806        7.75233        4.38730     
  16320.0        784.800        3600.84        23.1739                 NaN            NaN            NaN            NaN   12.8112        45.5880                 NaN   18.4269        5.86816        7.75196        4.38671     
  16440.0        787.850        3600.89        23.1742                 NaN            NaN            NaN            NaN   12.8112        45.5873                 NaN   18.4273        5.86826        7.75159        4.38611     
  16560.0        790.900        3600.95        23.1745                 NaN            NaN            NaN            NaN   12.8113        45.5865                 NaN   18.4277        5.86836        7.75121        4.38551     
  16680.0        793.950        3601.01        23.1748                 NaN            NaN            NaN            NaN   12.8113        45.5857                 NaN   18.4282        5.86847        7.75084        4.38491     
  16800.0        797.000        3601.06        23.1751                 NaN            NaN            NaN            NaN   12.8114        45.5850                 NaN   18.4286        5.86857        7.75046        4.38431     
  16920.0        800.050        3601.12        23.1754                 NaN            NaN            NaN            NaN   12.8114        45.5842                 NaN   18.4290        5.86867        7.75009        4.38371     
  17040.0        803.100        3601.18        23.1757                 NaN            NaN            NaN            NaN   12.8115        45.5834                 NaN   18.4294        5.86877        7.74971        4.38311     
  17160.0        806.150        3601.23        23.1760                 NaN            NaN            NaN            NaN   12.8115        45.5827                 NaN   18.4298        5.86887        7.74933        4.38251     
  17280.0        809.200        3601.29        23.1763                 NaN            NaN            NaN            NaN   12.8116        45.5819                 NaN   18.4302        5.86897        7.74896        4.38191     
  17400.0        812.250        3601.34        23.1766                 NaN            NaN            NaN            NaN   12.8116        45.5812                 NaN   18.4306        5.86907        7.74858        4.38131     
  17520.0        815.300        3601.40        23.1769                 NaN            NaN            NaN            NaN   12.8117        45.5804                 NaN   18.4311        5.86917        7.74820        4.38071     
  17640.0        818.350        3601.21        23.1842                 NaN            NaN            NaN            NaN   12.8404        45.5449                 NaN   18.4306        5.86971        7.74723        4.37887     
  17760.0        821.400        3601.27        23.1845                 NaN            NaN            NaN            NaN   12.8404        45.5441                 NaN   18.4310        5.86981        7.74685        4.37827     
  17880.0        824.450        3601.32        23.1848                 NaN            NaN            NaN            NaN   12.8405        45.5433                 NaN   18.4314        5.86991        7.74647        4.37767     
  18000.0        827.500        3601.38        23.1851                 NaN            NaN            NaN            NaN   12.8405        45.5426                 NaN   18.4318        5.87000        7.74609        4.37707     
  18120.0        830.550        3601.44        23.1854                 NaN            NaN            NaN            NaN   12.8406        45.5418                 NaN   18.4322        5.87010        7.74571        4.37647     
  18240.0        833.600        3601.49        23.1857                 NaN            NaN            NaN            NaN   12.8406        45.5410                 NaN   18.4327        5.87020        7.74533        4.37586     
  18360.0        836.650        3601.55        23.1860                 NaN            NaN            NaN            NaN   12.8407        45.5403                 NaN   18.4331        5.87029        7.74495        4.37526     
  18480.0        839.700        3601.60        23.1863                 NaN            NaN            NaN            NaN   12.8407        45.5395                 NaN   18.4335        5.87039        7.74456        4.37466     
  18600.0        842.750        3601.66        23.1866                 NaN            NaN            NaN            NaN   12.8408        45.5387                 NaN   18.4339        5.87048        7.74418        4.37405     
  18720.0        845.800        3601.71        23.1869                 NaN            NaN            NaN            NaN   12.8408        45.5380                 NaN   18.4343        5.87058        7.74380        4.37345     
  18840.0        848.850        3601.76        23.1872                 NaN            NaN            NaN            NaN   12.8409        45.5372                 NaN   18.4347        5.87067        7.74341        4.37284     
