|6.6.6
project/EH45/EH45_1.tab                                                                             
           1
P(bar)  
   4.9406564584124654E-324
   4.9406564584124654E-324
   550516395
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  12120.0        678.050        3560.56        12.0968                 NaN            NaN            NaN            NaN   19.7945        58.6255                 NaN   9.48323        5.75054        7.64136        4.35789     
  12240.0        681.100        3560.64        12.0970                 NaN            NaN            NaN            NaN   19.7947        58.6248                 NaN   9.48350        5.75072        7.64106        4.35732     
  12360.0        684.150        3560.72        12.0973                 NaN            NaN            NaN            NaN   19.7949        58.6241                 NaN   9.48376        5.75090        7.64076        4.35676     
  12480.0        687.200        3560.15        12.0832                 NaN            NaN            NaN            NaN   19.9733        58.4639                 NaN   9.47960        5.75065        7.63867        4.35425     
  12600.0        690.250        3560.23        12.0834                 NaN            NaN            NaN            NaN   19.9735        58.4632                 NaN   9.47987        5.75083        7.63838        4.35369     
  12720.0        693.300        3560.30        12.0837                 NaN            NaN            NaN            NaN   19.9737        58.4625                 NaN   9.48013        5.75101        7.63808        4.35312     
  12840.0        696.350        3560.38        12.0839                 NaN            NaN            NaN            NaN   19.9740        58.4618                 NaN   9.48040        5.75118        7.63779        4.35255     
  12960.0        699.400        3560.46        12.0841                 NaN            NaN            NaN            NaN   19.9742        58.4611                 NaN   9.48067        5.75136        7.63749        4.35199     
  13080.0        702.450        3560.54        12.0843                 NaN            NaN            NaN            NaN   19.9744        58.4604                 NaN   9.48094        5.75154        7.63719        4.35142     
  13200.0        705.500        3560.62        12.0845                 NaN            NaN            NaN            NaN   19.9746        58.4597                 NaN   9.48120        5.75171        7.63689        4.35085     
  13320.0        708.550        3560.70        12.0848                 NaN            NaN            NaN            NaN   19.9748        58.4590                 NaN   9.48147        5.75189        7.63659        4.35029     
  13440.0        711.600        3560.78        12.0850                 NaN            NaN            NaN            NaN   19.9750        58.4583                 NaN   9.48174        5.75206        7.63629        4.34972     
  13560.0        714.650        3560.85        12.0852                 NaN            NaN            NaN            NaN   19.9752        58.4576                 NaN   9.48200        5.75223        7.63599        4.34915     
  13680.0        717.700        3560.93        12.0854                 NaN            NaN            NaN            NaN   19.9754        58.4569                 NaN   9.48227        5.75241        7.63569        4.34858     
  13800.0        720.750        3561.01        12.0857                 NaN            NaN            NaN            NaN   19.9756        58.4562                 NaN   9.48254        5.75258        7.63538        4.34801     
  13920.0        723.800        3561.09        12.0859                 NaN            NaN            NaN            NaN   19.9758        58.4555                 NaN   9.48281        5.75275        7.63508        4.34744     
  14040.0        726.850        3561.16        12.0861                 NaN            NaN            NaN            NaN   19.9760        58.4548                 NaN   9.48307        5.75292        7.63477        4.34687     
  14160.0        729.900        3561.05        12.0894                 NaN            NaN            NaN            NaN   20.3034        58.1249                 NaN   9.48220        5.75445        7.63552        4.34634     
  14280.0        732.950        3561.12        12.0897                 NaN            NaN            NaN            NaN   20.3036        58.1242                 NaN   9.48247        5.75462        7.63522        4.34577     
  14400.0        736.000        3561.20        12.0899                 NaN            NaN            NaN            NaN   20.3038        58.1236                 NaN   9.48273        5.75479        7.63491        4.34519     
  14520.0        739.050        3561.28        12.0901                 NaN            NaN            NaN            NaN   20.3040        58.1229                 NaN   9.48300        5.75496        7.63461        4.34462     
  14640.0        742.100        3561.50        12.0927                 NaN            NaN            NaN            NaN   20.4558        57.9695                 NaN   9.48198        5.75537        7.63464        4.34425     
  14760.0        745.150        3561.58        12.0929                 NaN            NaN            NaN            NaN   20.4560        57.9688                 NaN   9.48225        5.75554        7.63433        4.34368     
  14880.0        748.200        3561.65        12.0932                 NaN            NaN            NaN            NaN   20.4562        57.9681                 NaN   9.48251        5.75570        7.63402        4.34311     
  15000.0        751.250        3561.73        12.0934                 NaN            NaN            NaN            NaN   20.4564        57.9674                 NaN   9.48278        5.75587        7.63371        4.34253     
