|6.6.6
project/EH70/EH70_1.tab                                                                             
           1
P(bar)  
   6.9506480690741720E-310
   6.9506480690741720E-310
  1027803201
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  12120.0        678.050        3404.47                 NaN            NaN            NaN            NaN            NaN   22.3947        61.5612                 NaN   8.65146        5.66264        7.64543        4.44863     
  12240.0        681.100        3404.61                 NaN            NaN            NaN            NaN            NaN   22.3953        61.5616                 NaN   8.65184        5.66305        7.64524        4.44800     
  12360.0        684.150        3404.74                 NaN            NaN            NaN            NaN            NaN   22.3959        61.5619                 NaN   8.65223        5.66345        7.64505        4.44737     
  12480.0        687.200        3404.39                 NaN            NaN            NaN            NaN            NaN   23.0255        60.9961                 NaN   8.59093        5.66399        7.64385        4.44531     
  12600.0        690.250        3404.52                 NaN            NaN            NaN            NaN            NaN   23.0261        60.9964                 NaN   8.59131        5.66439        7.64366        4.44468     
  12720.0        693.300        3404.65                 NaN            NaN            NaN            NaN            NaN   23.0267        60.9967                 NaN   8.59169        5.66479        7.64347        4.44405     
  12840.0        696.350        3404.78                 NaN            NaN            NaN            NaN            NaN   23.0274        60.9971                 NaN   8.59207        5.66519        7.64327        4.44341     
  12960.0        699.400        3404.91                 NaN            NaN            NaN            NaN            NaN   23.0280        60.9974                 NaN   8.59245        5.66559        7.64308        4.44278     
  13080.0        702.450        3405.04                 NaN            NaN            NaN            NaN            NaN   23.0286        60.9977                 NaN   8.59283        5.66599        7.64288        4.44215     
  13200.0        705.500        3405.17                 NaN            NaN            NaN            NaN            NaN   23.0292        60.9980                 NaN   8.59321        5.66639        7.64269        4.44151     
  13320.0        708.550        3405.30                 NaN            NaN            NaN            NaN            NaN   23.0298        60.9984                 NaN   8.59358        5.66678        7.64249        4.44088     
  13440.0        711.600        3405.43                 NaN            NaN            NaN            NaN            NaN   23.0304        60.9987                 NaN   8.59396        5.66718        7.64229        4.44024     
