|6.6.6
project/MAK/MAK_1.tab                                                                               
           1
P(bar)  
   6.9142339092851032E-310
   6.9142339092851032E-310
 -1563588543
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  12120.0        678.050        3669.60        26.8887                 NaN            NaN            NaN            NaN   14.4788        12.3776                 NaN   46.2548        6.21652        8.20458        4.63708     
  12240.0        681.100        3669.58        26.8898                 NaN            NaN            NaN            NaN   14.4571        12.3995                 NaN   46.2535        6.21658        8.20395        4.63619     
  12360.0        684.150        3669.55        26.8910                 NaN            NaN            NaN            NaN   14.4354        12.4214                 NaN   46.2523        6.21663        8.20332        4.63530     
  12480.0        687.200        3669.52        26.8921                 NaN            NaN            NaN            NaN   14.4137        12.4433                 NaN   46.2510        6.21668        8.20269        4.63441     
  12600.0        690.250        3669.49        26.8932                 NaN            NaN            NaN            NaN   14.3919        12.4652                 NaN   46.2497        6.21673        8.20206        4.63352     
  12720.0        693.300        3669.46        26.8943                 NaN            NaN            NaN            NaN   14.3702        12.4871                 NaN   46.2484        6.21679        8.20143        4.63263     
  12840.0        696.350        3669.43        26.8954                 NaN            NaN            NaN            NaN   14.3485        12.5090                 NaN   46.2471        6.21684        8.20080        4.63174     
  12960.0        699.400        3669.39        26.8944                 NaN            NaN            NaN            NaN   14.3638        12.5124                 NaN   46.2294        6.21666        8.20003        4.63090     
  13080.0        702.450        3669.36        26.8955                 NaN            NaN            NaN            NaN   14.3409        12.5357                 NaN   46.2279        6.21670        8.19938        4.62998     
  13200.0        705.500        3669.33        26.8998                 NaN            NaN            NaN            NaN   14.2795        12.5826                 NaN   46.2381        6.21695        8.19880        4.62898     
  13320.0        708.550        3669.31        26.8978                 NaN            NaN            NaN            NaN   14.2853        12.5749                 NaN   46.2420        6.21694        8.19807        4.62801     
  13440.0        711.600        3669.28        26.8988                 NaN            NaN            NaN            NaN   14.2649        12.5956                 NaN   46.2407        6.21699        8.19743        4.62712     
  13560.0        714.650        3669.26        26.8999                 NaN            NaN            NaN            NaN   14.2445        12.6163                 NaN   46.2394        6.21703        8.19679        4.62622     
  13680.0        717.700        3669.19        26.9024                 NaN            NaN            NaN            NaN   14.2129        12.6577                 NaN   46.2270        6.21700        8.19608        4.62530     
  13800.0        720.750        3669.17        26.9036                 NaN            NaN            NaN            NaN   14.1896        12.6800                 NaN   46.2268        6.21706        8.19547        4.62444     
  13920.0        723.800        3669.14        26.9048                 NaN            NaN            NaN            NaN   14.1663        12.7023                 NaN   46.2266        6.21712        8.19487        4.62357     
  14040.0        726.850        3669.11        26.9060                 NaN            NaN            NaN            NaN   14.1430        12.7246                 NaN   46.2264        6.21718        8.19426        4.62271     
  14160.0        729.900        3669.08        26.9071                 NaN            NaN            NaN            NaN   14.1189        12.7524                 NaN   46.2216        6.21718        8.19363        4.62187     
  14280.0        732.950        3669.05        26.9083                 NaN            NaN            NaN            NaN   14.0957        12.7738                 NaN   46.2222        6.21725        8.19303        4.62100     
  14400.0        736.000        3669.03        26.9095                 NaN            NaN            NaN            NaN   14.0725        12.7953                 NaN   46.2227        6.21732        8.19242        4.62013     
  14520.0        739.050        3669.00        26.9107                 NaN            NaN            NaN            NaN   14.0493        12.8167                 NaN   46.2233        6.21738        8.19182        4.61926     
  14640.0        742.100        3668.98        26.9120                 NaN            NaN            NaN            NaN   14.0261        12.8381                 NaN   46.2238        6.21745        8.19122        4.61839     
  14760.0        745.150        3668.95        26.9132                 NaN            NaN            NaN            NaN   14.0029        12.8595                 NaN   46.2244        6.21751        8.19062        4.61753     
  14880.0        748.200        3668.92        26.9122                 NaN            NaN            NaN            NaN   14.0098        12.8622                 NaN   46.2158        6.21739        8.18980        4.61657     
  15000.0        751.250        3668.89        26.9130                 NaN            NaN            NaN            NaN   13.9913        12.8807                 NaN   46.2150        6.21743        8.18917        4.61569     
  15120.0        754.300        3668.87        26.9159                 NaN            NaN            NaN            NaN   13.9458        12.9160                 NaN   46.2222        6.21763        8.18872        4.61489     
